PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,quarter,year
RODNEY PARK SOUTH,BROOKLYN     ,0.392,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
ABC PLAYGROUND,MANHATTAN    ,0.451,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
WOODRUFF PLAYGROUND,BROOKLYN     ,0.536,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
LITTLE CLAREMONT PARK,BRONX        ,0.549,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
SIXTEEN SYCAMORES PLAYGROUND,BROOKLYN     ,0.567,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
BENNINGER PLAYGROUND,QUEENS       ,0.574,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
UNDERHILL PLAYGROUND,BROOKLYN     ,0.59,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
HOWARD POOL,BROOKLYN     ,0.67,POOL LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
GARRISON PLAYGROUND,BRONX        ,0.696,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
SAMUEL SEABURY PLAYGROUND,MANHATTAN    ,0.786,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
EVERGREEN PLAYGROUND,BROOKLYN     ,0.87,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
PETER'S FIELD,MANHATTAN    ,0.882,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,1,0,0,1,0,2,3,2023
BARTLETT PLAYGROUND,BROOKLYN     ,0.918,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
WHITE PLAYGROUND STATEN ISLAND,STATEN ISLAND,0.918,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
MAE GRANT PLAYGROUND,MANHATTAN    ,0.97,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
GOUVERNEUR PLAYGROUND,BRONX        ,0.977,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
NEWTOWN BARGE PLAYGROUND,BROOKLYN     ,0.983,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
ABRAHAM LINCOLN PLAYGROUND,MANHATTAN    ,0.991,BASKETBALL & POOL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
BELLEROSE PLAYGROUND,QUEENS       ,0.996,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
RUPPERT PARK,MANHATTAN    ,0.997,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
ANNADALE PLAYGROUND,QUEENS       ,1.013,ONE ACRE OR LARGER,0.0,0,0,0,0,1,0,1,3,2023
OXPORT PLAYGROUND,BROOKLYN     ,1.033,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
EAST SPRINGFIELD PLAYGROUND,QUEENS       ,1.146,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
POLICE OFFICER NICHOLAS DEMUTIIS PARK,QUEENS       ,1.151,ONE ACRE OR LARGER,0.0,0,0,4,0,1,0,5,3,2023
HILLSIDE PARK QUEENS,QUEENS       ,1.16,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
OAKLAND GARDENS,QUEENS       ,1.166,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
HILTON HOLIDAY GARDENS,QUEENS       ,1.2,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
COONEY GRAUER FIELD,BRONX        ,1.274,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
DETECTIVE JOSEPH MAYROSE PARK,BROOKLYN     ,1.314,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
POTOMAC PLAYGROUND,BROOKLYN     ,1.315,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
LEWIS PLAYGROUND,BROOKLYN     ,0.161,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
BRIDGE AND TUNNEL PARK,QUEENS       ,0.318,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
SUTTON PLACE PARK,MANHATTAN    ,0.342,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
MARCY PARK SOUTH,BROOKLYN     ,0.357,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
JOSEPHINE CAMINITI PLAYGROUND,QUEENS       ,0.398,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
WEST 4TH STREET COURTS,MANHATTAN    ,0.42,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
BUTTERFLY GARDENS,BROOKLYN     ,0.442,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
PIERREPONT PLAYGROUND,BROOKLYN     ,0.503,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
HALF-NELSON PLAYGROUND,BRONX        ,0.61,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
AUGUSTUS ST. GAUDENS PLAYGROUND,MANHATTAN    ,0.642,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
COLLEGE POINT PARK,QUEENS       ,0.659,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
BLUEBERRY PARK,STATEN ISLAND,0.724,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
RAILROAD PARK BRONX,BRONX        ,0.732,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
DI GILIO PLAYGROUND,BROOKLYN     ,0.826,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
LIVONIA PARK,BROOKLYN     ,0.918,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
ATHENS SQUARE,QUEENS       ,0.925,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
TIGER PLAYGROUND,BROOKLYN     ,0.926,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
DAVIS PLAYGROUND,STATEN ISLAND,0.949,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
TELEPHONE PLAYGROUND,QUEENS       ,1.056,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
JEROME PLAYGROUND,BROOKLYN     ,1.068,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
SARATOGA BALLFIELDS,BROOKLYN     ,1.095,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
SEASIDE PLAYGROUND,QUEENS       ,1.144,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
MAGENTA PLAYGROUND,BRONX        ,1.205,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
PARKSIDE PLAYGROUND BROOKLYN,BROOKLYN     ,1.252,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
WAGNER PLAYGROUND,MANHATTAN    ,1.27,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
MARC AND JASON'S PLAYGROUND,BROOKLYN     ,1.326,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
MCDONALD PLAYGROUND STATEN ISLAND,STATEN ISLAND,1.352,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
HOPE BALLFIELD,BROOKLYN     ,1.363,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
LIEUTENANT JOHN H. MARTINSON PLAYGROUND,STATEN ISLAND,1.375,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
BREVOORT PLAYGROUND,BROOKLYN     ,1.485,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
GOLCONDA PLAYGROUND,BROOKLYN     ,1.5,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
WASHINGTON PARK BROOKLYN,BROOKLYN     ,1.549,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
JOAN OF ARC PARK,MANHATTAN    ,1.578,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
REAL GOOD PARK,QUEENS       ,1.598,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
WAGNER HOUSES POOL,MANHATTAN    ,1.64,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
MARBLE HILL PLAYGROUND,BRONX        ,1.646,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
BANNEKER PLAYGROUND,BROOKLYN     ,1.67,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
ADAM CLAYTON POWELL JR. MALLS,MANHATTAN    ,1.679,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
THEODORE ROOSEVELT PARK,MANHATTAN    ,17.574,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
SEASIDE WILDLIFE NATURE PARK,STATEN ISLAND,20.907,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
SPRINGFIELD PARK,QUEENS       ,23.543,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
MORNINGSIDE PARK,MANHATTAN    ,29.888,ONE ACRE OR LARGER,0.0,0,0,0,0,1,0,1,3,2023
EAST RIVER PARK,MANHATTAN    ,45.88,ONE ACRE OR LARGER,0.0,1,1,1,0,0,0,3,3,2023
REED'S BASKET WILLOW SWAMP PARK,STATEN ISLAND,52.375,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
SPRING CREEK PARK ADDITION,BROOKLYN/QUEENS,57.921,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
HIGHLAND PARK,BROOKLYN/QUEENS,146.339,ONE ACRE OR LARGER,0.0,0,0,2,0,2,0,4,3,2023
BLUE HERON PARK,STATEN ISLAND,217.45,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
POOR RICHARD'S PLAYGROUND,MANHATTAN    ,1.58,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
OLMSTED-BEIL HOUSE PARK,STATEN ISLAND,1.58,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
BURNS PLAYGROUND,BRONX        ,1.623,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
CROWLEY PLAYGROUND,QUEENS       ,1.633,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
GRAND FERRY PARK,BROOKLYN     ,1.7,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
MAPES BALLFIELD,BRONX        ,1.806,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
SUTTER BALLFIELDS,BROOKLYN     ,1.836,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
COLGATE CLOSE,BRONX        ,1.871,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
HERMAN DOLGON PLAYGROUND,BROOKLYN     ,1.894,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
TERRACE PLAYGROUND,STATEN ISLAND,1.922,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
SHEEPSHEAD PLAYGROUND,BROOKLYN     ,2.087,ONE ACRE OR LARGER,0.0,0,1,1,0,0,0,2,3,2023
LAREDO AVENUE PARCEL,STATEN ISLAND,2.223,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
DUTCH KILLS PLAYGROUND,QUEENS       ,2.4,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
LOST BATTALION HALL RECREATION CENTER,QUEENS       ,2.412,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
MARIE CURIE PARK,QUEENS       ,2.552,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
BUSHWICK PLAYGROUND ON KNICKERBOCKER AVENUE,BROOKLYN     ,2.783,ONE ACRE OR LARGER,0.0,0,0,2,0,1,0,3,3,2023
HOLCOMBE RUCKER PARK,MANHATTAN    ,3.125,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
GREENCROFT PLAYGROUND,STATEN ISLAND,3.23,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
ST. MICHAEL'S PARK,QUEENS       ,3.4,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
UNNAMED PARK ON ROCKAWAY BOARDWALK & CREST ROAD,QUEENS       ,3.809,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
MACHATE CIRCLE,BROOKLYN     ,4.32,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
WASHINGTON'S WALK,BRONX        ,4.637,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
ELMHURST PARK,QUEENS       ,6.219,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
DR. CHARLES R. DREW PARK,QUEENS       ,6.336,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
COOPER PARK,BROOKLYN     ,6.401,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
MOUNT PROSPECT PARK,BROOKLYN     ,7.79,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
MILL ROCK PARK,MANHATTAN    ,8.639,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
GRANITEVILLE SWAMP PARK,STATEN ISLAND,9.187,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
COMMODORE BARRY PARK,BROOKLYN     ,10.391,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
ST. JAMES PARK,BRONX        ,11.39,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
MULLALY PARK,BRONX        ,15.049,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
WILLIAMSBRIDGE OVAL,BRONX        ,19.749,ONE ACRE OR LARGER,0.0,0,1,0,0,1,0,2,3,2023
MARCUS GARVEY PARK,MANHATTAN    ,20.165,ONE ACRE OR LARGER,0.0,0,2,5,0,2,0,9,3,2023
LOCUST POINT MARINA,BRONX        ,22.07,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
MEREDITH WOODS,STATEN ISLAND,47.521,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
LONG POND PARK,STATEN ISLAND,91.948,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
BLOOMINGDALE PARK,STATEN ISLAND,138.1,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
INWOOD HILL PARK,MANHATTAN    ,196.398,ONE ACRE OR LARGER,0.0,0,1,0,0,0,0,1,3,2023
BELT PARKWAY,QUEENS       ,202.647,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
WOLFE'S POND PARK,STATEN ISLAND,302.693,ONE ACRE OR LARGER,0.0,0,0,2,0,0,0,2,3,2023
LATOURETTE PARK & GOLF COURSE,STATEN ISLAND,843.97,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
CAPTAIN JACOB JOSEPH PLAYGROUND,MANHATTAN    ,0.135,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
RODNEY PLAYGROUND CENTER,BROOKLYN     ,0.189,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
ASTORIA HEALTH PLAYGROUND,QUEENS       ,0.207,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
DOWNING STREET PLAYGROUND,MANHATTAN    ,0.223,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
UMMA PARK,BROOKLYN     ,0.23,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
DREAM STREET PARK,MANHATTAN    ,0.252,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
BEANSTALK PLAYGROUND,BRONX        ,0.267,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
BERRY PLAYGROUND,BROOKLYN     ,0.327,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
ST. MARY'S PARK PLAYGROUND BROOKLYN,BROOKLYN     ,0.367,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
MIDDLE VILLAGE PLAYGROUND,QUEENS       ,0.448,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
LOUIS ARMSTRONG COMMUNITY CENTER,QUEENS       ,0.452,RECREATION CENTER LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
VIRGINIA PLAYGROUND,BRONX        ,0.461,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
GREENPOINT PLAYGROUND,BROOKLYN     ,0.504,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
BLAND PLAYGROUND,QUEENS       ,0.551,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
WILLIAM F. PASSANNANTE BALLFIELD,MANHATTAN    ,0.607,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,1,0,1,3,2023
BEACH 59TH ST PLAYGROUND,QUEENS       ,0.618,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
HART PLAYGROUND ON BROADWAY,QUEENS       ,0.896,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,1,0,0,0,1,3,2023
BAY TERRACE PLAYGROUND,QUEENS       ,0.91,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,1,0,0,0,0,1,3,2023
EDMONDS PLAYGROUND,BROOKLYN     ,0.917,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
CHERRY TREE PARK,MANHATTAN    ,0.95,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
LANNETT PLAYGROUND,QUEENS       ,0.974,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
HAMMEL PLAYGROUND,QUEENS       ,1.03,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
GILBERT RAMIREZ PARK,BROOKLYN     ,1.034,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
MARLBORO PLAYGROUND,BROOKLYN     ,1.072,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
JACOB'S LADDER PLAYGROUND,BROOKLYN     ,1.085,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
LOUIS ARMSTRONG PLAYGROUND,QUEENS       ,1.085,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
STOCKTON PLAYGROUND,BROOKLYN     ,1.089,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
PENA HERRERA PARK,BROOKLYN     ,1.107,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
"""UNCLE"" VITO E. MARANZANO GLENDALE PLAYGROUND",QUEENS       ,1.15,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
THE CYCLONE,BROOKLYN     ,1.17,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
GONZALO PLASENCIA PLAYGROUND,BROOKLYN     ,1.236,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
ALBERT J. PARHAM PLAYGROUND,BROOKLYN     ,1.253,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
FOUNTAIN OF YOUTH PLAYGROUND,BRONX        ,1.375,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
FLATBUSH MALLS,BROOKLYN     ,1.55,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
PLAYGROUND ONE TWENTY FIVE CXXV,MANHATTAN    ,1.691,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
AMPERE PLAYGROUND,QUEENS       ,1.318,ONE ACRE OR LARGER,0.0,0,1,0,0,0,0,1,3,2023
WILLIAMSBRIDGE SQUARE,BRONX        ,1.395,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
GLENWOOD PLAYGROUND,BROOKLYN     ,1.43,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
BOOKER T. WASHINGTON PLAYGROUND,MANHATTAN    ,1.441,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
PULASKI PARK,BRONX        ,1.45,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
REIFF PLAYGROUND,QUEENS       ,1.529,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
CLINTONVILLE PLAYGROUND,QUEENS       ,1.553,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
PATTERSON PLAYGROUND,BRONX        ,1.683,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
BARTEL-PRITCHARD SQUARE,BROOKLYN     ,1.711,ONE ACRE OR LARGER,0.0,0,0,1,0,0,0,1,3,2023
LUNA PARK,BROOKLYN     ,1.76,ONE ACRE OR LARGER,0.0,0,1,1,2,3,0,7,3,2023
PLAYGROUND 52 LII,BRONX        ,1.793,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
TAAFFE PLAYGROUND,BROOKLYN     ,1.821,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
DIMATTINA PLAYGROUND,BROOKLYN     ,1.9,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
FULTON PARK,BROOKLYN     ,1.987,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
PLAYGROUND ONE THIRTY FOUR CXXXIV,BRONX        ,2.0,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
WASHINGTON MARKET PARK,MANHATTAN    ,2.15,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
OSBORN PLAYGROUND,BROOKLYN     ,2.3,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
ALLEY PARK,QUEENS       ,2.446,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
INDEPENCE PARK SYLVAN GROVE CEMETERY,STATEN ISLAND,2.476,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
SPERANDEO BROTHERS PLAYGROUND,BROOKLYN     ,2.799,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
AMERICAN VETERANS MEMORIAL PIER,BROOKLYN     ,3.169,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
GRADY PLAYGROUND,BROOKLYN     ,3.403,ONE ACRE OR LARGER,0.0,0,0,0,0,1,0,1,3,2023
CLAWSON PLAYGROUND,STATEN ISLAND,3.593,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
FORDHAM LANDING PLAYGROUND,BRONX        ,3.9,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
TIFFANY STREET PIER,BRONX        ,4.231,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
MONTBELLIER PARK,QUEENS       ,4.427,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
MCKINLEY PARK,BROOKLYN     ,5.655,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
HALLETS COVE PLAYGROUND,QUEENS       ,5.7,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
UNION SQUARE PARK,MANHATTAN    ,6.51,ONE ACRE OR LARGER,0.0,0,2,4,0,2,0,8,3,2023
BROWER PARK,BROOKLYN     ,7.047,ONE ACRE OR LARGER,0.0,0,0,0,0,1,0,1,3,2023
DETECTIVE KEITH L WILLIAMS PARK,QUEENS       ,7.683,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
EWEN PARK,BRONX        ,7.84,ONE ACRE OR LARGER,0.0,0,1,0,0,0,0,1,3,2023
SARA D. ROOSEVELT PARK,MANHATTAN    ,7.85,ONE ACRE OR LARGER,0.0,0,0,4,1,3,0,8,3,2023
COFFEY PARK,BROOKLYN     ,8.271,ONE ACRE OR LARGER,0.0,0,0,1,0,1,0,2,3,2023
GIVANS CREEK WOODS,BRONX        ,10.735,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
JOHN GOLDEN PARK,QUEENS       ,17.0,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
BATTERY PARK,MANHATTAN    ,21.88,ONE ACRE OR LARGER,0.0,0,1,0,0,3,0,4,3,2023
MCCARREN PARK,BROOKLYN     ,35.713,ONE ACRE OR LARGER,0.0,0,1,1,0,2,0,4,3,2023
QUEENS FARM PARK,QUEENS       ,47.08,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
MARINERS MARSH PARK,STATEN ISLAND,107.2,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,3,2023
CHIARANTANO PLAYGROUND,BROOKLYN     ,0.206,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
YOUTH VILLAGE,BRONX        ,0.27,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,1,0,1,3,2023
JENNIE JEROME PLAYGROUND,BRONX        ,0.287,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
ELIZABETH STROUD PLAYGROUND,BROOKLYN     ,0.29,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
DODGER PLAYGROUND,BROOKLYN     ,0.293,PLAYGROUND LESS THAN ONE ACRE,0.0,0,0,0,0,0,0,0,3,2023
