PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,quarter,year
COLUMBUS PARK AT MANHATTAN,MANHATTAN    ,3.233,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
GREENCROFT PLAYGROUND,STATEN ISLAND,3.23,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
SCARANGELLA PARK,BROOKLYN     ,3.214,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
SARATOGA PARK,BROOKLYN     ,3.214,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
BILL BROWN PLAYGROUND,BROOKLYN     ,3.214,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
JAMAICA PLAYGROUND,QUEENS       ,3.21,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
NOBLE PLAYGROUND,BRONX        ,3.21,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
MARCY PLAYGROUND,BROOKLYN     ,3.201,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
LYONS POOL,STATEN ISLAND,3.195,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
WAYANDA PARK,QUEENS       ,3.17,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
AMERICAN VETERANS MEMORIAL PIER,BROOKLYN     ,3.169,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
HOLCOMBE RUCKER PARK,MANHATTAN    ,3.125,ONE ACRE OR LARGER,0.0,0,1,0,0,0,0,1,1,2023
JESSE OWENS PLAYGROUND,BROOKLYN     ,3.1,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
EAST RIVER WALK,MANHATTAN    ,3.089,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
PARK OF THE AMERICAS,QUEENS       ,3.076,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
BROOKLYN HEIGHTS PROMENADE,BROOKLYN     ,3.035,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
J.J. BYRNE PLAYGROUND,BROOKLYN     ,3.03,ONE ACRE OR LARGER,0.0,0,1,0,0,1,0,2,1,2023
HERO PARK,STATEN ISLAND,3.024,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
NOSTRAND PLAYGROUND,BROOKLYN     ,3.023,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
FORT INDEPENDENCE PLAYGROUND,BRONX        ,3.02,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
